User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
GITMO 4 Hillary,HillaryBCrooked,Join the #GITMO4HillaryTeam #TrumpTrain #PresidentTrump #MakeAmericaGreatAgain #TeamTrump #BlueLivesMatter #13Hours #MAGA #AmericanPride #TrumpPense2016,493,670,Mon Dec 12 03:04:15 +0000 2016,"RT @LadyPatriot2000: Hilarious that these Lefties still aren't over it! Hillary sucked from day 1, still does! https://t.co/kTjTSN9DVQ",50% deplorable ,Yes,14,0
TheLadyEagle,TheOneLadyEagle,The Constitution or Sharia?   THE CONSTITUTION because AMERICA WON!!! COME to America LEGALLY!!!,2158,3450,Mon Dec 12 03:04:15 +0000 2016,"RT @ReversingASD: @FoxNews just like Hillary playing the ""Russian card"" &amp; ""fake news card"" to avoid #PayToPlay  indictment @dtrumpnation @",,Yes,6,0
Mother of Cats,SiberiaCat3,"Animal lover & advocate. Against trophy hunting, canned hunting, wearing fur, & animal abuse. RT isn't necessarily endorsement.",1417,1040,Mon Dec 12 03:04:14 +0000 2016,.@kyhm1024 Take note that Hillary helps children. #FlipThe37 #MoralElectors https://t.co/OxjphTSP7o  https://t.co/Ld8fZcvbuV,Post-election Dystopia,No,0,0
Kerry Otis,KerryOtis,"Deplorable conservative. Never Paul Ryan, Mitt Romney, John Kasich,Jeb Bush, etc",29,92,Mon Dec 12 03:04:13 +0000 2016,"RT @Cernovich: If Hillary had won we'd have talked about ""rigged elections"" for a day or two and then moved on. What we are seeing today is","Foley, AL",Yes,1452,0
R1b1Metaheteros,ZRODWN,"Songpusher, Bladerunner, Catalyst",2598,2742,Mon Dec 12 03:04:13 +0000 2016,"RT @YoungDems4Trump: WikiLeaks Emerges from the Shadows to Expose Stephen Colbert &amp; Hillary's Clinton Global Initiative Ties- @LeahR77 

ht",Not From Here,Yes,354,0
#DemExit,kimberlymontse1,Living life bioChemicallyBalanced. Eyes open wide #GoOrganic ;)#ClimateChangeIsReal #GoClean #JillStein2016 #RiseUp #GetMoneyOut,4497,4362,Mon Dec 12 03:04:12 +0000 2016,RT @TravisRuger: Since when did dems start wanting war with Russia so much?   #AMJoy  #imstillwithher #60Minutes #maddow #inners https://t.,#DirtyDeals #KnowYourChemistry,Yes,9,0
PibeGoriln,Magilla7,"Dom Joo Afonso Maria Coutinho de Albuquerque,  ad maiorem Dei gloriam. Quibus viventibus non communicavimus mortuis communicare non possumus!",1314,2948,Mon Dec 12 03:04:12 +0000 2016,"RT @DrMartyFox: We Do Have Evidence Of #RussianMeddling

The Uranium Deal 

#Putin Wanted #Hillary To Be President 

So He Could Make More","Luanda, Angola",Yes,133,0
Poli-annie,poliannesez,"Politics 24/7, touched his hair once, America IS great!!! Shocked and saddened by virtually everything #trump #lovemycountry #election",337,436,Mon Dec 12 03:04:12 +0000 2016,"RT @CitizensFedUp: Hillary could have legal right to challenge electoral college system and be next US president, says law professor https:","New York, USA",Yes,524,0
Work Hard Be Humble,kierobar,"Mobile Research;skier,runner,road biker,&sailor.Passionate about learning&finding solutions.Any&all opinions expressed are my own.",5155,5095,Mon Dec 12 03:04:12 +0000 2016,"RT @Tis4Ta: Still no lead in Seth Rich death, he work for the government. They should be looking with a fine tooth comb, But for Hillary ev","San Francisco, CA",Yes,4,0
LaVerne,LaVerneWright13,"Love of people, love of life,sense of humor, can laugh at self, love of God & optimism! Definitely part of Hillary's squad. Respect for Millenials. No lists pls",1095,684,Mon Dec 12 03:04:12 +0000 2016,"RT @daveweigel: ""Rejects politicization"" of intel, except when he calls for Hillary to be denied security briefings because email https://t",,Yes,566,0
